Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
2001-04-17,Burnley,Tottenham,0,2,A,0,0,D,S Attwell,13,19,2,7,9,6,3,7,2,0,0,0,5.75,3.8,1.7,6.07,3.91,1.67,5.5,3.75,1.7,5.11,3.81,1.78
2001-04-17,Chelsea,Crystal Palace,1,2,A,1,2,A,C Pawson,24,8,11,3,12,14,9,3,3,2,0,0,1.3,5.75,12.0,1.3,5.9,12.0,1.29,5.5,12.0,1.36,5.25,10.8
2001-04-17,Leicester,Stoke,2,0,H,1,0,H,L Mason,23,10,10,2,7,11,10,4,1,4,0,0,2.05,3.5,4.0,2.07,3.48,4.0,2.05,3.4,3.8,1.89,3.65,4.59
2001-04-17,Man United,West Brom,0,0,D,0,0,D,M Dean,18,3,3,1,15,13,6,1,3,3,0,0,1.36,5.0,11.0,1.37,5.05,10.55,1.36,5.0,9.0,1.38,5.05,10.0
2001-04-17,Liverpool,Everton,3,1,H,2,1,H,A Taylor,10,9,6,4,17,10,2,3,1,3,0,0,1.73,3.9,5.25,1.73,3.97,5.25,1.73,3.8,5.0,1.73,3.79,5.6
2001-04-17,Watford,Sunderland,1,0,H,0,0,D,L Probert,23,11,10,3,12,8,13,9,1,3,0,0,1.85,3.6,4.75,1.87,3.67,4.72,1.85,3.6,4.5,1.97,3.6,4.23
2001-04-17,Hull,West Ham,2,1,H,0,1,A,M Jones,7,12,3,4,16,9,5,5,2,2,0,0,2.45,3.4,3.1,2.47,3.42,3.1,2.5,3.3,3.0,2.44,3.35,3.2
2001-04-17,Southampton,Bournemouth,0,0,D,0,0,D,J Moss,14,12,4,3,14,8,6,3,1,0,0,0,1.65,4.0,6.0,1.67,4.13,5.57,1.62,4.2,5.5,1.67,4.13,5.55
2001-05-17,Watford,Liverpool,0,1,A,0,1,A,C Pawson,9,12,2,8,11,9,3,5,3,1,0,0,5.75,4.5,1.5,6.61,4.4,1.53,6.0,4.0,1.55,5.96,4.16,1.63
2001-10-16,Swansea,Liverpool,1,2,A,1,0,H,M Oliver,8,18,3,6,11,9,3,10,2,2,0,0,8.0,4.75,1.45,8.44,4.92,1.43,8.0,4.5,1.44,7.3,5.04,1.46
2001-10-16,Sunderland,West Brom,1,1,D,0,1,A,S Attwell,7,17,2,7,7,13,6,5,1,3,0,0,2.5,3.25,3.2,2.47,3.24,3.26,2.5,3.1,3.2,2.54,3.17,3.21
2001-10-16,Hull,Chelsea,0,2,A,0,0,D,A Taylor,8,22,3,9,13,15,5,7,2,2,0,0,7.5,4.5,1.5,7.68,4.63,1.48,7.0,4.33,1.5,7.5,4.9,1.46
2001-10-16,West Ham,Middlesbrough,1,1,D,0,0,D,N Swarbrick,19,9,2,3,13,12,4,5,2,3,0,0,2.25,3.4,3.5,2.23,3.35,3.66,2.3,3.3,3.3,2.0,3.52,4.26
2001-10-16,Watford,Bournemouth,2,2,D,0,1,A,M Dean,17,11,7,2,17,12,4,5,3,4,0,0,2.38,3.3,3.3,2.42,3.32,3.27,2.4,3.2,3.2,2.51,3.33,3.11
2002-01-17,West Brom,Hull,3,1,H,0,1,A,M Clattenburg,8,17,5,6,5,4,7,9,0,0,0,0,1.75,3.7,5.5,1.76,3.72,5.48,1.8,3.3,5.5,2.01,3.27,4.65
