Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA,GoalDiff_HT,GoalDiff_FT,TotalHomeShots,TotalAwayShots,HomeTeam_ID,AwayTeam_ID
2015,West Ham,Bournemouth,3,4,A,0,2,A,J Moss,10,15,4,7,8,11,5,4,0,0,1,0,2.38,3.4,3.2,2.43,3.44,3.15,2.4,3.1,3.1,2.64,3.51,2.81,-2,-1,14,22,16,0
2015,Everton,Man City,0,2,A,0,0,D,A Taylor,10,16,1,9,5,7,8,7,0,3,0,0,5.0,4.0,1.73,4.85,4.08,1.76,5.0,3.5,1.75,5.47,4.1,1.68,0,-2,11,25,2,18
2015,Watford,Southampton,0,0,D,0,0,D,A Marriner,13,14,0,5,10,11,5,2,0,2,0,0,2.8,3.3,2.75,2.76,3.36,2.78,2.7,3.1,2.7,2.76,3.34,2.79,0,0,13,19,15,11
2015,West Brom,Chelsea,2,3,A,1,3,A,M Clattenburg,15,15,6,5,9,12,8,7,2,1,0,1,6.5,4.0,1.62,6.25,3.93,1.65,6.0,3.4,1.67,7.25,4.12,1.56,-2,-1,21,20,9,1
2015,Arsenal,Liverpool,0,0,D,0,0,D,M Oliver,19,15,5,8,2,13,7,8,1,4,0,0,1.75,4.0,5.0,1.74,4.0,5.12,1.73,3.5,5.0,1.8,4.05,4.6,0,0,24,23,6,19
2015,Aston Villa,Sunderland,2,2,D,2,1,H,R Madley,21,7,6,3,10,14,5,4,2,1,0,0,1.91,3.5,4.75,1.93,3.51,4.62,1.91,3.2,4.5,2.12,3.31,4.07,1,0,27,10,10,12
2015,Bournemouth,Leicester,1,1,D,1,0,H,N Swarbrick,5,4,2,2,9,19,4,4,2,4,0,0,2.2,3.6,3.4,2.15,3.63,3.57,2.2,3.2,3.4,2.06,3.65,3.82,1,0,7,6,0,3
2015,Chelsea,Crystal Palace,1,2,A,0,0,D,C Pawson,26,13,9,6,9,15,7,7,1,1,0,0,1.36,5.0,11.0,1.37,5.26,10.17,1.36,4.5,9.5,1.37,5.1,10.31,0,-1,35,19,1,17
2015,Liverpool,West Ham,0,3,A,0,2,A,K Friend,13,12,1,5,17,11,5,7,3,1,1,1,1.36,5.5,9.0,1.36,5.28,10.21,1.36,4.5,9.5,1.37,5.28,9.74,-2,-3,14,17,19,16
2015,Man City,Watford,2,0,H,0,0,D,M Clattenburg,18,7,5,0,9,12,9,3,1,2,0,0,1.2,8.0,15.0,1.19,8.0,17.75,1.22,6.0,13.0,1.22,7.05,16.5,0,2,23,7,18,15
2015,Newcastle,Arsenal,0,1,A,0,0,D,A Marriner,1,22,0,9,15,8,0,9,6,1,1,0,6.0,4.2,1.62,6.13,4.21,1.61,6.0,3.6,1.62,5.81,4.48,1.6,0,-1,1,31,7,6
2015,Stoke,West Brom,0,1,A,0,1,A,M Oliver,13,15,5,5,4,9,6,5,1,4,2,0,1.95,3.4,4.5,1.95,3.5,4.5,1.95,3.25,4.2,2.16,3.27,3.98,-1,-1,18,20,8,9
2015,Tottenham,Everton,0,0,D,0,0,D,M Jones,20,8,6,3,20,9,6,2,4,1,0,0,2.0,3.5,4.2,1.97,3.72,4.09,2.0,3.25,4.0,2.1,3.55,3.81,0,0,26,11,14,2
2015,Southampton,Norwich,3,0,H,1,0,H,J Moss,23,6,8,1,4,12,6,4,0,0,0,1,2.05,3.5,4.0,2.05,3.54,4.0,2.05,3.25,3.8,2.11,3.4,3.95,1,3,31,7,11,5
2015,Swansea,Man United,2,1,H,0,0,D,M Atkinson,9,11,4,4,6,15,0,1,2,2,0,0,3.6,3.3,2.25,3.55,3.45,2.23,3.5,3.0,2.25,3.82,3.41,2.15,0,1,13,15,13,4
2015,Arsenal,Stoke,2,0,H,1,0,H,J Moss,29,9,12,4,6,13,13,1,1,1,0,0,1.29,6.0,12.0,1.28,6.12,13.0,1.3,5.0,11.0,1.3,6.3,11.0,1,2,41,13,6,8
2015,Crystal Palace,Man City,0,1,A,0,0,D,M Jones,10,21,2,7,13,13,4,4,2,3,0,0,5.5,4.2,1.67,5.75,4.16,1.65,5.5,3.8,1.62,4.95,3.89,1.78,0,-1,12,28,17,18
2015,Everton,Chelsea,3,1,H,2,1,H,A Marriner,14,15,9,2,12,12,7,14,2,2,0,0,4.0,3.6,2.0,4.11,3.57,2.01,4.0,3.1,2.05,3.56,3.51,2.2,1,2,23,17,2,1
2015,Man United,Liverpool,3,1,H,0,0,D,M Oliver,9,8,3,4,6,11,4,4,1,2,0,0,2.0,3.4,4.33,1.94,3.49,4.56,1.95,3.4,4.5,1.94,3.41,4.7,0,2,12,12,4,19
2015,Norwich,Bournemouth,3,1,H,1,0,H,M Atkinson,12,7,4,2,10,11,4,4,2,3,0,0,2.4,3.4,3.2,2.36,3.48,3.23,2.4,3.1,3.1,2.42,3.48,3.13,1,2,16,9,5,0
2015,Watford,Swansea,1,0,H,0,0,D,R Madley,17,8,6,3,11,14,1,3,1,1,1,0,2.75,3.4,2.75,2.75,3.34,2.8,2.75,3.0,2.75,2.62,3.39,2.92,0,1,23,11,15,13
2015,West Brom,Southampton,0,0,D,0,0,D,S Attwell,8,14,1,4,5,5,4,5,1,0,0,0,3.2,3.2,2.5,3.21,3.26,2.49,3.1,3.0,2.5,3.25,3.38,2.4,0,0,9,18,9,11
